year,tide_gauge,mean_sea_level_metres
1899,Auckland_MSL,1.866
1900,Auckland_MSL,1.863
1901,Auckland_MSL,1.823
1902,Auckland_MSL,0
1903,Auckland_MSL,1.88
1904,Auckland_MSL,1.864
1905,Auckland_MSL,1.843
1906,Auckland_MSL,1.826
1907,Auckland_MSL,1.882
1908,Auckland_MSL,1.92
1909,Auckland_MSL,1.901
1910,Auckland_MSL,1.928
1911,Auckland_MSL,1.948
1912,Auckland_MSL,1.903
1913,Auckland_MSL,1.873
1914,Auckland_MSL,1.833
1915,Auckland_MSL,1.875
1916,Auckland_MSL,1.928
1917,Auckland_MSL,1.923
1918,Auckland_MSL,1.905
1919,Auckland_MSL,1.873
1920,Auckland_MSL,1.921
1921,Auckland_MSL,1.866
1922,Auckland_MSL,1.93
1923,Auckland_MSL,1.893
1924,Auckland_MSL,1.937
1925,Auckland_MSL,1.894
1926,Auckland_MSL,1.859
1927,Auckland_MSL,1.894
1928,Auckland_MSL,1.915
1929,Auckland_MSL,1.902
1930,Auckland_MSL,1.883
1931,Auckland_MSL,1.84
1932,Auckland_MSL,1.881
1933,Auckland_MSL,1.882
1934,Auckland_MSL,1.9
1935,Auckland_MSL,1.917
1936,Auckland_MSL,1.895
1937,Auckland_MSL,1.91
1938,Auckland_MSL,1.998
1939,Auckland_MSL,1.952
1940,Auckland_MSL,1.891
1941,Auckland_MSL,1.898
1942,Auckland_MSL,1.888
1943,Auckland_MSL,1.932
1944,Auckland_MSL,1.89
1923,Wellington,0.619
1924,Wellington,0.6
1925,Wellington,0.584
1926,Wellington,0.628
1927,Wellington,0.577
1928,Wellington,0.569
1929,Wellington,0.575
1930,Wellington,0.55
1931,Wellington,0.61
1932,Wellington,0.683
1933,Wellington,0.642
1934,Wellington,0.564
1935,Wellington,0.601
1936,Wellington,0.558
1937,Wellington,0.579
1945,Auckland_MSL,1.901
1946,Auckland_MSL,0
1947,Auckland_MSL,1.941
1948,Auckland_MSL,1.988
1949,Auckland_MSL,1.965
1950,Auckland_MSL,1.964
1951,Auckland_MSL,1.97
1952,Auckland_MSL,1.906
1953,Auckland_MSL,1.925
1954,Auckland_MSL,1.935
1955,Auckland_MSL,1.98
1956,Auckland_MSL,2.047
1957,Auckland_MSL,1.99
1958,Auckland_MSL,1.964
1959,Auckland_MSL,1.975
1960,Auckland_MSL,2
1961,Auckland_MSL,1.972
1962,Auckland_MSL,1.982
1963,Auckland_MSL,1.961
1964,Auckland_MSL,1.94
1965,Auckland_MSL,1.926
1966,Auckland_MSL,1.977
1967,Auckland_MSL,1.946
1968,Auckland_MSL,1.95
1969,Auckland_MSL,1.921
1970,Auckland_MSL,1.952
1971,Auckland_MSL,2.04
1972,Auckland_MSL,1.986
1973,Auckland_MSL,1.955
1974,Auckland_MSL,2.012
1975,Auckland_MSL,1.992
1976,Auckland_MSL,1.985
1977,Auckland_MSL,1.952
1978,Auckland_MSL,1.959
1979,Auckland_MSL,1.983
1980,Auckland_MSL,1.97
1981,Auckland_MSL,1.969
1982,Auckland_MSL,1.958
1983,Auckland_MSL,1.928
1984,Auckland_MSL,1.964
1985,Auckland_MSL,2.005
1986,Auckland_MSL,1.986
1987,Auckland_MSL,1.938
