Dataset,Spatial_coverage,Statistic,Start_year,End_year,Temperature_degrees_celcius,field_7
NZ_7_station_temperature_time_series,New_Zealand,Average_temperature_anomaly,1909,1909,-0.22,
NZ_7_station_temperature_time_series,New_Zealand,Average_temperature_anomaly,1910,1910,-0.15,
NZ_7_station_temperature_time_series,New_Zealand,Average_temperature_anomaly,1911,1911,-0.66,
NZ_7_station_temperature_time_series,New_Zealand,Average_temperature_anomaly,1912,1912,-1.28,
NZ_7_station_temperature_time_series,New_Zealand,Average_temperature_anomaly,1913,1913,-1.04,
NZ_7_station_temperature_time_series,New_Zealand,Average_temperature_anomaly,1914,1914,-1.03,
NZ_7_station_temperature_time_series,New_Zealand,Average_temperature_anomaly,1915,1915,-0.67,
NZ_7_station_temperature_time_series,New_Zealand,Average_temperature_anomaly,1916,1916,0.38,
NZ_7_station_temperature_time_series,New_Zealand,Average_temperature_anomaly,1917,1917,0.19,
NZ_7_station_temperature_time_series,New_Zealand,Average_temperature_anomaly,1918,1918,-0.80,
NZ_7_station_temperature_time_series,New_Zealand,Average_temperature_anomaly,1919,1919,-1.22,
NZ_7_station_temperature_time_series,New_Zealand,Average_temperature_anomaly,1920,1920,-1.07,
NZ_7_station_temperature_time_series,New_Zealand,Average_temperature_anomaly,1921,1921,-0.75,
NZ_7_station_temperature_time_series,New_Zealand,Average_temperature_anomaly,1922,1922,-0.60,
NZ_7_station_temperature_time_series,New_Zealand,Average_temperature_anomaly,1923,1923,-0.76,
NZ_7_station_temperature_time_series,New_Zealand,Average_temperature_anomaly,1924,1924,0.20,
NZ_7_station_temperature_time_series,New_Zealand,Average_temperature_anomaly,1925,1925,-1.02,
NZ_7_station_temperature_time_series,New_Zealand,Average_temperature_anomaly,1926,1926,-0.83,
NZ_7_station_temperature_time_series,New_Zealand,Average_temperature_anomaly,1927,1927,-0.99,
NZ_7_station_temperature_time_series,New_Zealand,Average_temperature_anomaly,1928,1928,0.09,
NZ_7_station_temperature_time_series,New_Zealand,Average_temperature_anomaly,1929,1929,-0.66,
NZ_7_station_temperature_time_series,New_Zealand,Average_temperature_anomaly,1930,1930,-1.36,
NZ_7_station_temperature_time_series,New_Zealand,Average_temperature_anomaly,1931,1931,-1.16,
NZ_7_station_temperature_time_series,New_Zealand,Average_temperature_anomaly,1932,1932,-1.01,
NZ_7_station_temperature_time_series,New_Zealand,Average_temperature_anomaly,1933,1933,-0.55,
NZ_7_station_temperature_time_series,New_Zealand,Average_temperature_anomaly,1934,1934,-0.34,
