Year,Area,Variable,Statistic,Value
1993,New_Zealand_oceanic_waters,Oceanic_sea_surface_temperature,Mean,14.3612
1994,New_Zealand_oceanic_waters,Oceanic_sea_surface_temperature,Mean,14.4678
1995,New_Zealand_oceanic_waters,Oceanic_sea_surface_temperature,Mean,14.5782
1996,New_Zealand_oceanic_waters,Oceanic_sea_surface_temperature,Mean,14.649
1997,New_Zealand_oceanic_waters,Oceanic_sea_surface_temperature,Mean,14.4728
1998,New_Zealand_oceanic_waters,Oceanic_sea_surface_temperature,Mean,14.632
1999,New_Zealand_oceanic_waters,Oceanic_sea_surface_temperature,Mean,15.0981
2000,New_Zealand_oceanic_waters,Oceanic_sea_surface_temperature,Mean,14.8112
2001,New_Zealand_oceanic_waters,Oceanic_sea_surface_temperature,Mean,14.8066
2002,New_Zealand_oceanic_waters,Oceanic_sea_surface_temperature,Mean,14.8327
2003,New_Zealand_oceanic_waters,Oceanic_sea_surface_temperature,Mean,14.7494
2004,New_Zealand_oceanic_waters,Oceanic_sea_surface_temperature,Mean,14.5186
2005,New_Zealand_oceanic_waters,Oceanic_sea_surface_temperature,Mean,14.7422
2006,New_Zealand_oceanic_waters,Oceanic_sea_surface_temperature,Mean,14.6198
2007,New_Zealand_oceanic_waters,Oceanic_sea_surface_temperature,Mean,14.5462
2008,New_Zealand_oceanic_waters,Oceanic_sea_surface_temperature,Mean,14.5632
2009,New_Zealand_oceanic_waters,Oceanic_sea_surface_temperature,Mean,14.5427
2010,New_Zealand_oceanic_waters,Oceanic_sea_surface_temperature,Mean,14.7388
2011,New_Zealand_oceanic_waters,Oceanic_sea_surface_temperature,Mean,14.4536
2012,New_Zealand_oceanic_waters,Oceanic_sea_surface_temperature,Mean,14.7561
2013,New_Zealand_oceanic_waters,Oceanic_sea_surface_temperature,Mean,14.9975
2014,New_Zealand_oceanic_waters,Oceanic_sea_surface_temperature,Mean,14.9375
2015,New_Zealand_oceanic_waters,Oceanic_sea_surface_temperature,Mean,14.5487
2016,New_Zealand_oceanic_waters,Oceanic_sea_surface_temperature,Mean,14.7886
1993,Subantarctic_waters,Oceanic_sea_surface_temperature,Mean,10.1077
1994,Subantarctic_waters,Oceanic_sea_surface_temperature,Mean,10.4094
1995,Subantarctic_waters,Oceanic_sea_surface_temperature,Mean,9.95481
1996,Subantarctic_waters,Oceanic_sea_surface_temperature,Mean,10.1012
1997,Subantarctic_waters,Oceanic_sea_surface_temperature,Mean,9.92362
1998,Subantarctic_waters,Oceanic_sea_surface_temperature,Mean,9.96257
1999,Subantarctic_waters,Oceanic_sea_surface_temperature,Mean,10.5427
2000,Subantarctic_waters,Oceanic_sea_surface_temperature,Mean,10.2153
2001,Subantarctic_waters,Oceanic_sea_surface_temperature,Mean,10.0094
2002,Subantarctic_waters,Oceanic_sea_surface_temperature,Mean,10.0197
2003,Subantarctic_waters,Oceanic_sea_surface_temperature,Mean,9.70619
2004,Subantarctic_waters,Oceanic_sea_surface_temperature,Mean,9.56511
2005,Subantarctic_waters,Oceanic_sea_surface_temperature,Mean,9.957
