Year,site,r95ptot,rx1day
1960,Auckland,0,0
1961,Auckland,0,0
1962,Auckland,0,0
1963,Auckland,34.24417406,56.4
1964,Auckland,31.89158016,44.7
1965,Auckland,33.39581615,70.4
1966,Auckland,31.24754034,66.5
1967,Auckland,37.46610796,139.4
1968,Auckland,19.86384634,58.4
1969,Auckland,26.7946185,58.9
1970,Auckland,32.9884955,80.3
1971,Auckland,27.30793479,64.7
1972,Auckland,27.95676998,68.5
1973,Auckland,16.12903226,65.1
1974,Auckland,23.75152253,38
1975,Auckland,21.20684919,88.8
1976,Auckland,35.94574228,97
1977,Auckland,17.5311305,71
1978,Auckland,20.92925026,56
1979,Auckland,39.40422067,87.6
1980,Auckland,24.9553837,63.2
1981,Auckland,14.09395973,58
1982,Auckland,28.56614474,41.1
1983,Auckland,27.80597857,39.8
1984,Auckland,30.88813204,66.2
1985,Auckland,43.65348399,161.8
1986,Auckland,31.24052439,56.1
1987,Auckland,7.340946166,36.9
1988,Auckland,27.53521127,141.6
1989,Auckland,22.21610714,61.8
1990,Auckland,22.20424155,54.9
1991,Auckland,30.34071998,50.5
1992,Auckland,31.68761221,65
1993,Auckland,25.68454962,63
1994,Auckland,8.549147973,56
1995,Auckland,23.35995436,59
1996,Auckland,26.20614035,66.4
1997,Auckland,28.62198168,81
1998,Auckland,35.39457127,71.6
1999,Auckland,33.58778626,63.2
2000,Auckland,30.63345754,64.4
2001,Auckland,28.94609034,57
2002,Auckland,20.53121365,49.8
2003,Auckland,19.32166697,62.8
2004,Auckland,26.60550459,84.8
2005,Auckland,16.98033411,35
2006,Auckland,21.73673582,72.4
2007,Auckland,20.89655172,57.6
2008,Auckland,22.43024302,57.8
2009,Auckland,13.39597902,50.4
2010,Auckland,17.5716118,38.8
2011,Auckland,37.82564401,72.6
2012,Auckland,23.02504817,44.2
2013,Auckland,25.72154656,39
2014,Auckland,26.37907998,51.2
2015,Auckland,25.02179791,65.2
2016,Auckland,23.11431143,46.6
1960,Blenheim,12.78262418,38.3
1961,Blenheim,17.46060828,56.3
1962,Blenheim,34.46157051,79.2
1963,Blenheim,42.53452244,47.1
1964,Blenheim,8.162606872,50.6
1965,Blenheim,10.68904594,30.9
1966,Blenheim,29.92434125,82.7
1967,Blenheim,25.98621499,48.1
1968,Blenheim,27.62478485,51.1
1969,Blenheim,6.380232344,34.6
1970,Blenheim,33.93059937,61.2
1971,Blenheim,18.75887532,54.5
1972,Blenheim,23.36800574,64.2
1973,Blenheim,15.11024643,40.1
1974,Blenheim,24.15948875,48.5
1975,Blenheim,25.70151478,56.8
1976,Blenheim,28.49512619,79.3
1977,Blenheim,25.76506749,52.2
1978,Blenheim,12.77463905,43.1
1979,Blenheim,18.31771531,48.8
1980,Blenheim,18.23079815,78.5
1981,Blenheim,24.85178657,45.5
1982,Blenheim,16.65980231,42.8
1983,Blenheim,25.29737206,65.9
1984,Blenheim,10.34804226,66.6
1985,Blenheim,21.59909592,50.7
1986,Blenheim,26.69915363,63.4
1987,Blenheim,34.1282536,67.8
1988,Blenheim,20.25886325,41.7
1989,Blenheim,22.86171063,38.3
1990,Blenheim,21.0577547,40.5
1991,Blenheim,5.693641618,39.4
1992,Blenheim,15.42424242,38.8
1993,Blenheim,36.78856866,76.8
1994,Blenheim,26.64052288,60
1995,Blenheim,39.03028051,102.4
1996,Blenheim,13.17659923,34.6
1997,Blenheim,10.36953243,55
1998,Blenheim,32.73381295,101.6
1999,Blenheim,18.09468487,35.8
2000,Blenheim,13.08119362,44
2001,Blenheim,26.52705061,46.2
2002,Blenheim,25.39560015,39.8
2003,Blenheim,7.41516548,35.4
2004,Blenheim,19.01668389,35.6
2005,Blenheim,7.299270073,36
2006,Blenheim,13.83951682,42.2
2007,Blenheim,15.24714829,48.4
2008,Blenheim,43.50207974,70
2009,Blenheim,40.45782533,50
2010,Blenheim,27.40975803,70.8
2011,Blenheim,14.09714889,45
2012,Blenheim,19.94502138,38
2013,Blenheim,27.01979668,50
2014,Blenheim,13.5862069,45.2
2015,Blenheim,14.97724452,38.8
2016,Blenheim,18.16417083,55.4
1960,Christchurch,29.54059829,40.6
1961,Christchurch,40.10491178,42.7
1962,Christchurch,16.34129923,73.7
1963,Christchurch,28.76360339,79.5
1964,Christchurch,27.1315978,34.3
1965,Christchurch,18.53448276,36.6
1966,Christchurch,22.29050279,34.8
1967,Christchurch,24.99074417,39.4
1968,Christchurch,32.28655545,70.6
1969,Christchurch,15.08196721,31.8
1970,Christchurch,9.081346424,28.2
1971,Christchurch,6.047720293,25.6
1972,Christchurch,25.24326347,28.3
1973,Christchurch,20.1750547,43
1974,Christchurch,34.02272437,74.6
1975,Christchurch,49.57207207,101.5
1976,Christchurch,17.04035874,39.5
1977,Christchurch,23.4286485,77
1978,Christchurch,47.43992814,59.6
1979,Christchurch,35.97093258,53.3
1980,Christchurch,35.85531512,110.4
1981,Christchurch,23.91548242,36.7
1982,Christchurch,6.405063291,25.3
1983,Christchurch,14.504336,35.3
1984,Christchurch,31.8705156,51
1985,Christchurch,29.72129784,36.2
1986,Christchurch,37.13723561,57.9
1987,Christchurch,38.36655495,38.8
1988,Christchurch,0,18.1
1989,Christchurch,22.01330633,43
1990,Christchurch,28.03720577,41.2
1991,Christchurch,32.7093755,35.3
1992,Christchurch,16.21539858,56.5
1993,Christchurch,20.50542741,41
1994,Christchurch,29.62612399,63.8
1995,Christchurch,17.30438857,55.4
1996,Christchurch,27.05444707,39.2
1997,Christchurch,20.30178326,34.6
1998,Christchurch,6.190581472,28
1999,Christchurch,15.59026735,38.2
2000,Christchurch,33.60239163,54.8
2001,Christchurch,22.74247492,43.4
2002,Christchurch,27.38755391,43.6
2003,Christchurch,23.72558361,41.2
2004,Christchurch,12.33140655,44.4
2005,Christchurch,5.743243243,23.8
2006,Christchurch,28.87837319,54
2007,Christchurch,27.12895377,37.4
2008,Christchurch,37.67103348,51.6
2009,Christchurch,4.87804878,28
2010,Christchurch,27.73835236,45.6
2011,Christchurch,22.76206323,31.2
2012,Christchurch,39.04419803,44.6
2013,Christchurch,16.34730539,55.6
2014,Christchurch,35.33419857,58.6
2015,Christchurch,16.7866522,40.2
2016,Christchurch,24.75427739,34.4
1960,Dannevirke,14.13362303,36.9
1961,Dannevirke,44.59132538,65.6
1962,Dannevirke,18.00758829,39.4
1963,Dannevirke,26.96973266,70.3
1964,Dannevirke,23.67753071,44.5
1965,Dannevirke,30.30450275,119.6
1966,Dannevirke,37.35617268,68.1
1967,Dannevirke,23.14785707,120.1
1968,Dannevirke,17.0994422,47.3
1969,Dannevirke,20.28662046,49.9
1970,Dannevirke,31.29597675,65.3
1971,Dannevirke,31.71314062,72.4
1972,Dannevirke,26.84255501,87.9
1973,Dannevirke,35.82702905,77.6
1974,Dannevirke,40.5174538,64.1
1975,Dannevirke,22.72098253,41.9
1976,Dannevirke,25.69393718,51.8
1977,Dannevirke,21.42257854,36.8
1978,Dannevirke,21.21627801,64.2
1979,Dannevirke,22.43061476,48.9
1980,Dannevirke,25.24065082,78.6
1981,Dannevirke,11.4673665,38.7
1982,Dannevirke,16.79516834,58.9
1983,Dannevirke,12.94292383,35.1
1984,Dannevirke,17.29541497,33.7
1985,Dannevirke,27.21095233,66.7
1986,Dannevirke,23.73005877,49.5
1987,Dannevirke,22.10001134,55
1988,Dannevirke,37.20703125,65.1
1989,Dannevirke,17.55201958,32.4
1990,Dannevirke,22.4831508,52.4
1991,Dannevirke,30.93586846,99.2
1992,Dannevirke,33.49761526,89.2
1993,Dannevirke,4.892141757,38.1
1994,Dannevirke,9.729848452,51.4
1995,Dannevirke,29.12999455,87.1
1996,Dannevirke,18.32001559,45.1
1997,Dannevirke,29.27294637,58.8
1998,Dannevirke,11.92173124,37.4
1999,Dannevirke,35.01204292,68
2000,Dannevirke,27.13708125,70.7
2001,Dannevirke,30.29137417,47.5
2002,Dannevirke,25.66191446,63.3
2003,Dannevirke,32.32304217,74.7
2004,Dannevirke,33.76577593,140.8
2005,Dannevirke,16.64662016,44.1
2006,Dannevirke,30.30384997,60.1
2007,Dannevirke,13.36589127,42.6
2008,Dannevirke,6.587914584,32.2
2009,Dannevirke,43.57745082,64.4
2010,Dannevirke,16.9,51
2011,Dannevirke,24.09662607,84.2
2012,Dannevirke,22.34268707,49.8
2013,Dannevirke,32.29697411,58.8
2014,Dannevirke,24.47160682,35.8
2015,Dannevirke,21.37087468,70.4
2016,Dannevirke,12.06129511,39.2
1960,Dunedin,23.02421197,36.3
1961,Dunedin,14.35072322,24.3
1962,Dunedin,19.47548107,32.2
1963,Dunedin,23.2880629,38.1
1964,Dunedin,11.3345521,55.8
1965,Dunedin,4.746263754,28.9
1966,Dunedin,25.87438887,62.3
1967,Dunedin,9.903295129,30.5
